"","Date","UserIDs_in","FileName","Obs_in","HHMMSS_in","FTime_in","EBal._in","Photo_out","Cond_out","Ci_out","Trmmol_out","VpdL_out","CTleaf_out","Area_in","BLC_1_out","StmRat_in","BLCond_out","Tair_in","Tleaf_in","TBlk_in","CO2R_in","CO2S_in","H2OR_in","H2OS_in","RH_R_in","RH_S_in","Flow_in","PARi_in","PARo_in","Press_in","CsMch_in","HsMch_in","CsMchSD_in","HsMchSD_in","CrMchSD_in","HrMchSD_in","StableF_in","BLCslope_in","BLCoffst_in","f_parin_in","f_parout_in","alphaK_in","Status_in","fda_out","Trans_out","Tair_K_out","Twall_K_out","R.W.m2._out","Tl.Ta_out","SVTleaf_out","h2o_i_out","h20diff_out","CTair_out","SVTair_out","CndTotal_out","vp_kPa_out","VpdA_out","CndCO2_out","Ci_Pa_out","Ci.Ca_out","RHsfc_out","C2sfc_out","AHs.Cs_out","Unit","LS","Ad.Time","Config","OtherComments","DateTime","Time","hr","mi","se","Seconds","Time.pos","CO2_Mixer_setting","Tblock_setting","Flow_setting","Lamp_setting","LogRemarks1","Remark.catch","LicorModel","Unknown","Sys_time_s","Sys_elapsed_s","Sys_date_NA","GasEx_TIME_s","GasEx_Ca_µmol.mol.U.207B.¹","GasEx_gsw_mol.m.U.207B.².s.U.207B.¹","GasEx_gbw_mol.m.U.207B.².s.U.207B.¹","GasEx_gtw_mol.m.U.207B.².s.U.207B.¹","GasEx_gtc_mol.m.U.207B.².s.U.207B.¹","GasEx_Rabs_W.m.U.207B.²","GasEx_TleafEB_.C","GasEx_SVPleaf_kPa","GasEx_SVPcham_kPa","GasEx_VPDleaf_kPa","GasEx_LatHFlux_W.m.U.207B.²","GasEx_SenHFlux_W.m.U.207B.²","GasEx_NetTherm_W.m.U.207B.²","GasEx_EBSum_W.m.U.207B.²","GasEx_blfa_1_NA","GasEx_blfa_2_NA","GasEx_blfa_3_NA","Leak_Leak_µmol.s.U.207B.¹","Leak_LeakPct_.","Leak_CorrFact_NA","Leak_CorrFactPct_.","Leak_Fan_µmol.s.U.207B.¹","LeafQ_Qabs_µmol.m.U.207B.².s.U.207B.¹","LeafQ_alpha_NA","LeafQ_convert_J.µmol","Const_Geometry_NA","Meas_TIME_s","Meas_.U.0394.Pcham_kPa","Meas_Tleaf2_.C","Meas_Fan_speed_rpm","Meas_Qamb_in_µmol.m.U.207B.².s.U.207B.¹","Meas_Qamb_out_µmol.m.U.207B.².s.U.207B.¹","Match_time_secs","Match_hhmmss_NA","Match_count_NA","Match_co2_adj_µmol.mol","Match_h2o_adj_mmol.mol","Match_co2_at_µmol.mol","Match_h2o_at_mmol.mol","Match_co2_cv_.","Match_h2o_cv_.","Stability_.U.0394.CO2.MN_µmol.mol.U.207B.¹","Stability_.U.0394.CO2.SLP_µmol.mol.U.207B.¹.min.U.207B.¹","Stability_.U.0394.CO2.SD_µmol.mol.U.207B.¹","Stability_.U.0394.CO2.OK_NA","Stability_.U.0394.H2O.MN_mmol.mol.U.207B.¹","Stability_.U.0394.H2O.SLP_mmol.mol.U.207B.¹.min.U.207B.¹","Stability_.U.0394.H2O.SD_mmol.mol.U.207B.¹","Stability_.U.0394.H2O.OK_NA","Stability_Stable_NA","Stability_Total_NA","Stability_State_NA","Status_MatchValveR_.","Status_MatchValveS_.","Status_MatchCO2_µmol.mol","Status_MatchH2O_mmol.mol","Status_DIAG_NA","Status_Flow_s_µmol.s.U.207B.¹","Status_Flow_r_µmol.s.U.207B.¹","Status_Txchg_.C","Status_Tirga_.C","Status_Tchopper_.C","Status_Ts_.C","Status_CO2_._.","Status_Desiccant_._.","Status_Humidifier_._.","Status_CO2_r_sp_µmol.mol.U.207B.¹","Status_H2O_r_sp_mmol.mol.U.207B.¹","Status_SS_s_.","Status_SS_r_.","Meas_Offset_.C","Meas_Offset2_.C","Treatment.x","KEEP","MyTemp","Leaf.age","Treatment.y","Mass","X"
"1","6/21/2020","11p","06-21-2020 wetfert rvt 6400.a.csv",19,"8:03:02",3462.000014,1,-0.674739135,0.072904764,422.091554,0.41070038,0.574361179,15.24212614,7.24,2,0.5,3.6,15.33957958,15.40062618,15.0288353,410.1135254,410.8455505,10.89248848,11.47981834,63.13560486,66.54998779,500.4573975,0.063253619,0.066582762,101.3840027,-1.146291018,0.107462607,0.013759132,0.005540939,0.024956357,0.004198845,1,0,2,0,1,0.189999998,111115,0.691239521,0.0004107,288.5506262,288.4895796,0.012650725,-0.158500039,1.738231113,17.14502354,5.6652052,15.40062618,1.756011096,0.071457652,1.163869934,0.592141162,0.044788831,42.79333124,1.027372825,67.14275784,411.0985777,-0.001102019,"Unit=PSC-4903","LightSource=Sun+Sky10.18999999761581421","A/D AvgTime=4","A/D AvgTime=4","c(""OPEN 6.3.4"", ""Sun Jun 21 2020 07:05:51"")1:2","Jun 21 2020","8:03:02",8,3,2,28982,"8:03:02","CO2 Mixer: CO2R -> 410 uml","Coolers: Tblock -> 15.00 C","Flow: Fixed -> 500 umol/s",NA,"Launched AutoProg /User/Configs/AutoProgs/AutoLog2","Flow: Fixed -> 500 umol/s","6400.a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","Y",15,"new","p",0.1636,""
"2","6/21/2020","11p","06-21-2020 wetfert rvt 6800.1.csv",53,"7:52:48",NA,NA,-0.877119421,41.80520471,475.2949154,0.000237544,1.141961604,20.28409677,7.24,NA,0.5,NA,20.30282581,20.28409677,24.4293,410.0070323,410.5714516,11.04522258,11.21527419,NA,47.761206,1000.007645,0.033156175,NA,101.7219032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.39547699,1.157642387,NA,NA,NA,NA,NA,NA,NA,NA,"Jun 21 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6800.1",56,1592743969,4618.4,"20200621 07:52:48",1592743960,410.5714516,0.01914418,2.788611813,0.019071464,0.011926175,0.006336145,20.23788454,2.388216265,2.390981509,1.24625466,-10.47568305,2.815715969,0.20361939,-7.450011544,-0.0012242,0.023644386,2.681596088,42,4,1,0,55058.80849,0.016246526,0.49,0.39,"0: Broadleaf",1592743960,0.10009279,20.43588065,10008.14516,0.033156175,0.282605,1592743929,"7:52:08",10,-1.033,-0.118,410,11,0.28,0.08,0.563752667,0.002592723,0.014659985,1,0.173229952,-0.083666186,0.008546822,1,2,2,"2-Feb",100,100,-1.033,-0.118,2,1040.86,318.437,20.0001,24.4281,30.0003,24.3726,24.731,44.6526,0,410,11,99.0531,106.828,NA,NA,"p","Y",20,"new","p",0.1636,""
"3","6/21/2020","11p","06-21-2020 wetfert rvt 6400.a.csv",107,"11:06:59",14498.50001,1,-3.133359471,0.006097744,1201.47078,0.173960719,2.783590625,34.49725506,7.24,2,0.5,3.6,35.03637314,34.5051918,35.09067917,410.6266785,415.0570068,26.44666862,26.69171715,47.43448257,47.87381744,500.2511292,0.167643189,0.17646651,101.5078125,1.590301156,-0.344809353,0.028924642,0.001638312,0.028321287,0.000850003,0.333333343,0,2,0,1,0.189999998,111115,0.69095462,0.000173961,307.6551918,308.1863731,0.033528636,-0.007936742,5.493008444,54.11414461,27.42242746,34.5051918,5.495431964,0.006087433,2.70941782,2.786014144,0.003805571,121.9586707,2.894712678,47.28051099,416.2320166,-0.003559237,"Unit=PSC-4903","LightSource=Sun+Sky10.18999999761581421","A/D AvgTime=4","A/D AvgTime=4","c(""OPEN 6.3.4"", ""Sun Jun 21 2020 07:05:51"")1:2","Jun 21 2020","11:06:59",11,6,59,40019,"11:06:59","CO2 Mixer: CO2R -> 410 uml","Coolers: Tblock -> 35.00 C","Flow: Fixed -> 500 umol/s",NA,"Launched AutoProg /User/Configs/AutoProgs/AutoLog2","CO2 Mixer: CO2R -> 410 uml","6400.a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","N",35,"new","p",0.1636,""
"4","6/21/2020","11p","06-21-2020 wetfert rvt 6800.1.csv",89,"9:00:41",NA,NA,-1.798074452,41.90596985,644.6917196,0.000200007,1.999032913,27.60123226,7.24,NA,0.5,NA,27.57503871,27.60123226,31.8234,409.9911613,411.2334194,19.47502903,19.61699355,NA,54.00110604,999.9993226,0.02392439,NA,101.7800323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.6960998,1.567702646,NA,NA,NA,NA,NA,NA,NA,NA,"Jun 21 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6800.1",92,1592748042,8691.3,"20200621 09:00:41",1592748034,411.2334194,0.011622357,2.787228778,0.0115955,0.007249596,0.004571951,27.52060948,3.707511358,3.70183698,1.708478446,-8.820308206,-3.935975588,-0.30655365,-13.05826549,-0.001223256,0.023626157,2.680295558,44,4,1,0,53688.22433,0.011722951,0.49,0.39,"0: Broadleaf",1592748034,0.123091065,27.72621935,9994.717742,0.02392439,0.282605,1592748004,"9:00:03",17,-1.904,0.068,410,19,0.27,0.13,1.241950714,-0.001079232,0.012623886,1,0.142247238,-0.00571881,0.000792489,1,2,2,"2-Feb",100,100,-1.904,0.068,2,1038.63,290.552,26.9998,31.9161,30.0003,31.7501,24.8627,35.021,0,410,19.5,98.2493,105.678,NA,NA,"p","Y",27,"new","p",0.1636,""
"5","6/21/2020","11p","06-21-2020 wetfert rvt 6400.a.csv",20,"8:03:07",3467.000014,1,-0.623911062,0.07159463,421.1984002,0.404661636,0.576064602,15.2521667,7.24,2,0.5,3.6,15.34207249,15.4088974,15.02856064,410.1819763,410.8440857,10.89536381,11.4740839,63.14015961,66.50523376,500.4377747,0.075699672,0.07968387,101.3839645,-1.146291018,0.107462607,0.013759132,0.005540939,0.024956357,0.004198845,1,0,2,0,1,0.189999998,111115,0.691212418,0.000404662,288.5588974,288.4920725,0.015139935,-0.156730698,1.739352718,17.15609293,5.682009032,15.4088974,1.756943303,0.070198563,1.163288115,0.593655187,0.04399743,42.70276367,1.02520254,67.05472054,411.0780523,-0.001017719,"Unit=PSC-4903","LightSource=Sun+Sky10.18999999761581421","A/D AvgTime=4","A/D AvgTime=4","c(""OPEN 6.3.4"", ""Sun Jun 21 2020 07:05:51"")1:2","Jun 21 2020","8:03:07",8,3,7,28987,"8:03:07","CO2 Mixer: CO2R -> 410 uml","Coolers: Tblock -> 15.00 C","Flow: Fixed -> 500 umol/s",NA,"Launched AutoProg /User/Configs/AutoProgs/AutoLog2","CO2 Mixer: CO2R -> 410 uml","6400.a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","Y",15,"new","p",0.1636,""
"6","6/21/2020","11p","06-21-2020 wetfert rvt 6800.1.csv",52,"7:52:43",NA,NA,-0.883767478,41.80516926,473.0539209,0.000246787,1.142410929,20.28141935,7.24,NA,0.5,NA,20.30136129,20.28141935,24.4257,410.0036774,410.5701613,11.04299355,11.21966129,NA,47.78432187,1000.009742,0.039393423,NA,101.7219677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.16740498,1.152187776,NA,NA,NA,NA,NA,NA,NA,NA,"Jun 21 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6800.1",55,1592743964,4613.4,"20200621 07:52:43",1592743955,410.5701613,0.019905734,2.786588998,0.019827074,0.012398963,0.007528083,20.23385307,2.387821186,2.39076518,1.245410258,-10.8833273,2.995888655,0.21680131,-7.663109252,-0.00122282,0.023617728,2.679693931,43,4,1,0,54999.54648,0.019302777,0.49,0.39,"0: Broadleaf",1592743955,0.100261929,20.43235484,9996.854839,0.039393423,0.282696161,1592743929,"7:52:08",10,-1.033,-0.118,410,11,0.28,0.08,0.569905619,-0.076857448,0.018458497,1,0.175530571,-0.027544419,0.007896911,1,2,2,"2-Feb",100,100,-1.033,-0.118,2,1039.56,318.313,20.0001,24.425,30.0003,24.3695,24.7304,44.6526,0,410,11,99.0524,106.829,NA,NA,"p","Y",20,"new","p",0.1636,""
"7","6/21/2020","11p","06-21-2020 wetfert rvt 6800.1.csv",93,"9:01:01",NA,NA,-1.772303564,41.90339988,644.6125848,0.000197134,1.998099214,27.59465806,7.24,NA,0.5,NA,27.57047419,27.59465806,31.8381,409.9872258,411.2116774,19.46807097,19.60799677,NA,53.99029388,1000.004871,0.024131791,NA,101.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.68748017,1.567593092,NA,NA,NA,NA,NA,NA,NA,NA,"Jun 21 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6800.1",96,1592748062,8711.3,"20200621 09:01:01",1592748053,411.2116774,0.011458369,2.787160017,0.011432263,0.007147505,0.004611585,27.51682605,3.70608646,3.700848932,1.707987246,-8.693610871,-3.633901603,-0.283017853,-12.60591874,-0.001223209,0.023625251,2.680230898,43,4,1,0,53687.04236,0.011824578,0.49,0.39,"0: Broadleaf",1592748053,0.123261484,27.72418387,9994.435806,0.024131791,0.282605,1592748004,"9:00:03",17,-1.904,0.068,410,19,0.27,0.13,1.224665714,-0.004052054,0.018618048,1,0.140094833,-0.009859496,0.001317831,1,2,2,"2-Feb",100,100,-1.904,0.068,2,1039.18,290.572,26.9998,31.9281,30.0003,31.764,24.8654,35.021,0,410,19.5,98.2493,105.677,NA,NA,"p","Y",27,"new","p",0.1636,""
"8","6/21/2020","11p","06-21-2020 wetfert rvt 6400.a.csv",18,"8:02:57",3457.000014,1,-0.662780765,0.07457191,421.5156159,0.41836813,0.572263641,15.23001405,7.24,2,0.5,3.6,15.3367548,15.39076424,15.02844715,410.1347961,410.8449707,10.8889122,11.48720837,63.12555695,66.60330963,500.4529114,0.060923908,0.064130433,101.383667,-1.146291018,0.107462607,0.013759132,0.005540939,0.024956357,0.004198845,1,0,2,0,1,0.189999998,111115,0.691233325,0.000418368,288.5407642,288.4867548,0.012184782,-0.160750186,1.736878948,17.13174321,5.644534842,15.39076424,1.754900175,0.073058545,1.164615308,0.590284867,0.045795187,42.73479883,1.025972437,67.25222706,411.0935135,-0.001084266,"Unit=PSC-4903","LightSource=Sun+Sky10.18999999761581421","A/D AvgTime=4","A/D AvgTime=4","c(""OPEN 6.3.4"", ""Sun Jun 21 2020 07:05:51"")1:2","Jun 21 2020","8:02:57",8,2,57,28977,"8:02:57","CO2 Mixer: CO2R -> 410 uml","Coolers: Tblock -> 15.00 C","Flow: Fixed -> 500 umol/s",NA,"Launched AutoProg /User/Configs/AutoProgs/AutoLog2","Coolers: Tblock -> 15.00 C","6400.a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","Y",15,"new","p",0.1636,""
"9","6/21/2020","11p","06-21-2020 wetfert rvt 6400.a.csv",142,"12:02:36",17836.00001,1,-5.064023338,0.007453294,1440.273753,0.329762818,4.294120421,38.39231521,7.24,2,0.5,3.6,39.63267517,38.37615967,40.07116318,409.9808655,417.1106262,24.22226715,24.68772888,33.82654953,34.47556305,500.264801,0.128436327,0.135196134,101.5081787,1.461396456,-0.347520649,0.018488416,0.000893378,0.010632763,0.000500311,1,0,2,0,1,0.189999998,111115,0.690973504,0.000329763,311.5261597,312.7826752,0.025687265,0.016155543,6.800126816,66.99092529,42.30319641,38.37615967,6.794192248,0.007437895,2.506006395,4.288185853,0.004650065,146.1995655,3.452977848,33.955375,419.009635,-0.004103744,"Unit=PSC-4903","LightSource=Sun+Sky10.18999999761581421","A/D AvgTime=4","A/D AvgTime=4","c(""OPEN 6.3.4"", ""Sun Jun 21 2020 07:05:51"")1:2","Jun 21 2020","12:02:36",12,2,36,43356,"12:02:36","CO2 Mixer: CO2R -> 410 uml","Coolers: Tblock -> 40.00 C","Flow: Fixed -> 500 umol/s",NA,"Launched AutoProg /User/Configs/AutoProgs/AutoLog2","CO2 Mixer: CO2R -> 410 uml","6400.a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","Y",40,"new","p",0.1636,""
"10","6/21/2020","11p","06-21-2020 wetfert rvt 6800.1.csv",48,"7:52:23",NA,NA,-0.715539213,41.79478918,480.3217843,0.000181239,1.140174047,20.2823871,7.24,NA,0.5,NA,20.30162581,20.2823871,24.4119,409.9989677,410.4631613,11.06780645,11.19755484,NA,47.68997907,999.9938387,0.039108439,NA,101.7212258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.90803757,1.170194623,NA,NA,NA,NA,NA,NA,NA,NA,"Jun 21 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6800.1",51,1592743944,4593.4,"20200621 07:52:23",1592743935,410.4631613,0.014575604,2.788815191,0.014533415,0.009087165,0.007473623,20.25209727,2.387963979,2.390804252,1.247789932,-7.992631377,2.892551631,0.209157418,-4.883448704,-0.001224339,0.023647068,2.68178733,45,4,1,0,55065.00602,0.019163135,0.49,0.39,"0: Broadleaf",1592743935,0.1022583,20.43401935,10009.34677,0.039108439,0.287299806,1592743929,"7:52:08",10,-1.033,-0.118,410,11,0.28,0.08,0.339499312,2.246008783,0.254185362,0,0.090398262,0.693770029,0.077230663,0,0,2,"0/2",100,100,-1.033,-0.118,2,1037.73,318.063,20.0002,24.4117,30.0003,24.3546,24.7317,44.6526,0,410,11,99.0568,106.831,NA,NA,"p","N",20,"new","p",0.1636,""
