FileName,Sys_time_s,Sys_elapsed_s,Sys_date_NA,HHMMSS_in,GasEx_TIME_s,Trmmol_out,Photo_out,GasEx_Ca_µmol.mol.U.207B.¹,Ci_out,Ci_Pa_out,Cond_out,GasEx_gsw_mol.m.U.207B.².s.U.207B.¹,GasEx_gbw_mol.m.U.207B.².s.U.207B.¹,GasEx_gtw_mol.m.U.207B.².s.U.207B.¹,GasEx_gtc_mol.m.U.207B.².s.U.207B.¹,GasEx_Rabs_W.m.U.207B.²,GasEx_TleafEB_.C,CTleaf_out,GasEx_SVPleaf_kPa,RH_S_in,VpdL_out,GasEx_SVPcham_kPa,GasEx_VPDleaf_kPa,GasEx_LatHFlux_W.m.U.207B.²,GasEx_SenHFlux_W.m.U.207B.²,GasEx_NetTherm_W.m.U.207B.²,GasEx_EBSum_W.m.U.207B.²,GasEx_blfa_1_NA,GasEx_blfa_2_NA,GasEx_blfa_3_NA,Leak_Leak_µmol.s.U.207B.¹,Leak_LeakPct_.,Leak_CorrFact_NA,Leak_CorrFactPct_.,Leak_Fan_µmol.s.U.207B.¹,PARi_in,LeafQ_Qabs_µmol.m.U.207B.².s.U.207B.¹,LeafQ_alpha_NA,LeafQ_convert_J.µmol,Area_in,StmRat_in,Const_Geometry_NA,Meas_TIME_s,CO2S_in,CO2R_in,H2OS_in,H2OR_in,Flow_in,Press_in,Meas_.U.0394.Pcham_kPa,Tair_in,Tleaf_in,Meas_Tleaf2_.C,Meas_Fan_speed_rpm,Meas_Qamb_in_µmol.m.U.207B.².s.U.207B.¹,Meas_Qamb_out_µmol.m.U.207B.².s.U.207B.¹,HeadLS_Q_µmol.m.U.207B.².s.U.207B.¹,HeadLS_f_red_NA,HeadLS_f_blue_NA,HeadLS_Tled_.C,HeadLS_Pc_NA,Match_time_secs,Match_hhmmss_NA,Match_count_NA,Match_co2_adj_µmol.mol,Match_h2o_adj_mmol.mol,Match_co2_at_µmol.mol,Match_h2o_at_mmol.mol,Match_co2_cv_.,Match_h2o_cv_.,Stability_.U.0394.CO2.MN_µmol.mol.U.207B.¹,Stability_.U.0394.CO2.SLP_µmol.mol.U.207B.¹.min.U.207B.¹,Stability_.U.0394.CO2.SD_µmol.mol.U.207B.¹,Stability_.U.0394.CO2.OK_NA,Stability_.U.0394.H2O.MN_mmol.mol.U.207B.¹,Stability_.U.0394.H2O.SLP_mmol.mol.U.207B.¹.min.U.207B.¹,Stability_.U.0394.H2O.SD_mmol.mol.U.207B.¹,Stability_.U.0394.H2O.OK_NA,Stability_Stable_NA,Stability_Total_NA,Status_MatchValveR_.,Status_MatchValveS_.,Status_MatchCO2_µmol.mol,Status_MatchH2O_mmol.mol,Status_DIAG_NA,Status_Flow_s_µmol.s.U.207B.¹,Status_Flow_r_µmol.s.U.207B.¹,TBlk_in,Status_Tirga_.C,Status_Tchopper_.C,Status_Ts_.C,Status_Tr_.C,Status_CO2_._.,Status_Desiccant_._.,Status_Humidifier_._.,Status_Txchg_sp_.C,Status_CO2_r_sp_µmol.mol.U.207B.¹,Status_H2O_r_sp_mmol.mol.U.207B.¹,Status_SS_s_.,Status_SS_r_.,UserIDs_in,Date,LicorModel,IDs,Treatment,Meas_Offset_.C,Meas_Offset2_.C,KEEP
06-21-2020 6800.1 WetFert ACi_updated_area_Cleaned_6800.csv,1592659701,0,20200620 08:28:21,8:28:21,1592659693,0.000474391,1.199159638,298.496,227.5984159,23.24547266,30.4865066,0.030033555,2.75220652,0.02985266,0.018674074,237.726278,33.79846514,33.53375161,5.205613571,74.58454728,3.652986418,4.897779166,1.552627153,-20.92062196,-160.9559735,-13.3926388,42.45704371,0.020051166,-0.449661095,4.85023267,21,3,1,0,52998.0274,1500.001935,1264.501599,0.842999978,0.187999982,6.62,0.5,0: Broadleaf,1592659693,298.496,299.9752903,35.76670323,35.26201935,600.0075161,102.0337097,0.100009352,32.44897419,33.53375161,999.9,10001.56613,520.2594194,101.5173161,1500.001935,0.900000161,0.099999819,32,30473.83226,1592659721,8:28:41,2,-0.872,0.51,300,35,0.17,0.18,-1.870614,-0.07547454,0.046480225,1,0.51275454,-0.065105255,0.009388903,1,2,2,100,100,-0.872,0.51,3,596.281,360.92,33.0018,32.786,30.0002,32.7007,32.7577,15.0796,15.4844,100,33,300,35.3263,97.8189,105.781,1n,6/21/2020,6800.1,1n,n,NA,NA,Y
06-21-2020 6800.1 WetFert ACi_updated_area_Cleaned_6800.csv,1592659813,112,20200620 08:30:13,8:30:13,1592659805,0.000429381,0.849495748,248.9060968,193.8418958,19.79832965,25.42239353,0.027576555,2.751704758,0.027423938,0.017153603,237.7261001,33.74468738,33.52766129,5.203839374,75.29890949,3.67417583,4.879454238,1.529663543,-18.93568348,-169.8778711,-14.13255904,34.77998643,0.020045778,-0.44954027,4.849167165,20,3,1,0,52995.9525,1499.999677,1264.499756,0.843000018,0.188000115,6.62,0.5,0: Broadleaf,1592659805,248.9060968,249.9612903,35.97319677,35.51649032,600.0015161,102.0364516,0.100032206,32.38254516,33.52766129,999.9,9998.61,520.8349032,28.8912871,1499.999677,0.899998452,0.100001516,31.04033226,30473.79032,1592659832,8:30:31,3,-0.718,0.507,250,35,0.26,0.15,-1.1942518,-0.173432989,0.033443666,0,0.454222,0.063012354,0.008033887,1,1,2,100,100,-0.718,0.507,3,597.156,359.356,32.9998,32.8662,30.0004,32.7605,32.8162,13.0682,15.4837,100,33,250,35.3678,97.8194,105.763,1n,6/21/2020,6800.1,1n,n,NA,NA,Y
06-21-2020 6800.1 WetFert ACi_updated_area_Cleaned_6800.csv,1592659923,221.7,20200620 08:32:02,8:32:02,1592659915,0.000521152,0.569662425,199.2145806,167.2258394,17.07998726,20.3472293,0.03346133,2.753632448,0.033237069,0.020793192,237.7262324,33.67193855,33.47771935,5.189310409,75.14839039,3.657169841,4.866597704,1.532140568,-22.98280777,-169.520868,-14.08630733,31.13624926,0.02006648,-0.450004533,4.853261009,19,3,1,0,53056.57586,1500.001613,1264.501267,0.842999938,0.187999995,6.62,0.5,0: Broadleaf,1592659915,199.2145806,199.9576452,35.80642581,35.25201935,600.0099355,102.0371613,0.100088071,32.33580968,33.47771935,999.9,10008.86645,520.9629032,190.7490323,1500.001613,0.899999806,0.100000116,31,30473.81935,1592659944,8:32:23,4,-0.631,0.493,200,35,0.23,0.19,-0.81663912,-0.162351398,0.028140339,0,0.5690158,-0.006706989,0.002361317,1,1,2,100,100,-0.631,0.493,3,597.985,357.417,32.9993,32.9126,30.0001,32.8,32.8538,11.0126,16.0507,100,33,200,35.2308,97.8241,105.747,1n,6/21/2020,6800.1,1n,n,NA,NA,N
06-21-2020 6800.1 WetFert ACi_updated_area_Cleaned_6800.csv,1592660035,334.2,20200620 08:33:55,8:33:55,1592660027,0.000573729,0.234688808,149.6168065,136.0348518,13.89394407,15.28113945,0.037542269,2.751846351,0.037260037,0.023312704,237.7264148,33.48943132,33.29882258,5.137555446,75.35568554,3.632401433,4.820341567,1.505154013,-25.301435,-167.9488716,-13.94092805,30.53518015,0.020047298,-0.449574365,4.849467836,19,3,1,0,53037.25608,1500.003226,1264.502493,0.842999849,0.187999957,6.62,0.5,0: Broadleaf,1592660027,149.6168065,149.9704516,35.56464516,34.95415161,600.0073871,102.0351935,0.099986387,32.16676774,33.29882258,999.9,9999.491613,521.2441613,65.84209032,1500.003226,0.899999968,0.099999858,31,30473.86129,1592660063,8:34:23,5,-0.489,0.487,150,35,0.16,0.13,-0.47796444,-0.168293726,0.036668596,0,0.61908824,-0.008594512,0.01034495,1,1,2,100,100,-0.489,0.487,3,598.284,356.352,32.9988,32.8733,29.9997,32.7868,32.8382,8.9255,16.6007,100,33,150,34.8453,97.8388,105.753,1n,6/21/2020,6800.1,1n,n,NA,NA,N
06-21-2020 6800.1 WetFert ACi_updated_area_Cleaned_6800.csv,1592660146,444.7,20200620 08:35:45,8:35:45,1592660138,0.000462567,-0.198668226,100.1349032,108.0669601,11.03683923,10.22674115,0.030520864,2.751951645,0.030334054,0.018975473,237.7268015,33.38538476,33.16836774,5.100098437,75.44505376,3.609116026,4.783767584,1.490982412,-20.3992226,-168.5793805,-13.97453688,34.77366156,0.020048429,-0.449599719,4.849691429,19,3,1,0,53063.42585,1500.004839,1264.504138,0.843000039,0.188000019,6.62,0.5,0: Broadleaf,1592660138,100.1349032,99.96680968,35.33857742,34.84624194,599.9938387,102.0298065,0.0998289,32.03210645,33.16836774,999.9,10000.58355,521.597129,75.40759677,1500.004839,0.899999903,0.100000139,30,30473.89032,1592660166,8:36:05,6,-0.436,0.494,100,35,0.24,0.19,0.124914366,-0.066406286,0.037896962,1,0.48622528,-9.98E-05,0.003800911,1,2,2,100,100,-0.436,0.494,3,598.435,355.769,32.9991,32.7512,29.9997,32.7074,32.7585,6.82892,16.304,100,33,100,34.5435,97.8646,105.769,1n,6/21/2020,6800.1,1n,n,NA,NA,N
06-21-2020 6800.1 WetFert ACi_updated_area_Cleaned_6800.csv,1592660255,553.7,20200620 08:37:34,8:37:34,1592660247,0.000691033,-0.771838251,50.7864129,76.54108888,7.817101568,5.186789916,0.045573087,2.751729395,0.045157898,0.028260674,237.7260551,33.29144918,33.09080645,5.077941364,74.99744742,3.581350079,4.775295963,1.496591285,-30.47455689,-161.7057176,-13.39865435,32.14712621,0.020046042,-0.449546202,4.849219481,18,3,1,0,53062.80641,1500,1264.499961,0.842999974,0.188000049,6.62,0.5,0: Broadleaf,1592660247,50.7864129,49.97356129,35.06676129,34.33107742,600.016,102.0293548,0.100124674,32.0007871,33.09080645,999.9,9999.437419,521.3019355,648.9824839,1500,0.899999194,0.100000748,30,30473.79677,1592660279,8:37:59,7,-0.403,0.487,50,34,0.3,0.1,0.78210346,-0.091971164,0.021192495,1,0.74594126,-0.026579778,0.007447698,1,2,2,100,100,-0.403,0.487,3,599.311,354.83,32.9996,32.6235,29.9997,32.6117,32.6621,4.72516,18.5215,100,33,50,34.3031,97.8929,105.787,1n,6/21/2020,6800.1,1n,n,NA,NA,N
06-21-2020 6800.1 WetFert ACi_updated_area_Cleaned_6800.csv,1592660371,669.7,20200620 08:39:30,8:39:30,1592660363,0.000852284,-1.453592746,13.3596871,54.86070483,5.602961595,1.364434051,0.055446038,2.751314772,0.054832684,0.034324969,237.725493,33.4241076,33.26142903,5.126794389,74.78689788,3.607217727,4.823328456,1.519576662,-37.58574396,-160.7444879,-13.34375727,26.0515039,0.020041591,-0.44944637,4.848339061,18,3,1,0,53020.77512,1499.997419,1264.497753,0.842999952,0.187999933,6.62,0.5,0: Broadleaf,1592660363,13.3596871,11.76846774,35.31962581,34.41249355,600.0057097,102.0307742,0.099915026,32.17772581,33.26142903,999.9,9997.077742,521.1669677,1637.898387,1499.997419,0.900000742,0.099999229,30.83467097,30473.75806,1592660411,8:40:11,8,-0.331,0.503,12,35,0.14,0.19,1.5083858,0.128758761,0.018981679,0,0.8785746,0.206883653,0.032476325,0,0,2,100,100,-0.331,0.503,3,599.065,353.585,33.0026,32.5678,30.0001,32.5432,32.5956,0,21.2159,100,33,0,34.338,97.9087,105.795,1n,6/21/2020,6800.1,1n,n,NA,NA,N
06-21-2020 6800.1 WetFert ACi_updated_area_Cleaned_6800.csv,1592660503,801.7,20200620 08:41:42,8:41:42,1592660495,0.000789381,5.789120885,393.5186452,202.1534416,20.64726239,40.19265098,0.050810735,2.750476196,0.050294977,0.031480263,237.7253704,33.66350508,33.47886774,5.189644098,74.85438647,3.656024237,4.884181688,1.533619861,-34.81170074,-160.0224778,-13.31654016,29.57465163,0.020032588,-0.449244488,4.846558542,18,3,1,0,52959.52208,1499.996774,1264.497308,0.843000018,0.187999902,6.62,0.5,0: Broadleaf,1592660495,393.5186452,400.2487097,35.79544194,34.95566774,600.0000645,102.0361613,0.100424806,32.39970323,33.47886774,999.9,9992.059677,521.5239355,228.5164839,1499.996774,0.900001452,0.099998619,31,30473.74194,1592660529,8:42:08,9,-1.234,0.496,401,35,0.29,0.09,-5.7118432,-1.269094415,0.161912702,0,0.79680804,0.627742917,0.091576082,0,0,2,100,100,-1.234,0.496,3,599.027,352.753,33.0021,32.6907,30.0006,32.6052,32.664,19.3397,24.5591,100,33,400,34.7013,97.9028,105.778,1n,6/21/2020,6800.1,1n,n,NA,NA,Y
06-21-2020 6800.1 WetFert ACi_updated_area_Cleaned_6800.csv,1592660608,906.7,20200620 08:43:27,8:43:27,1592660600,0.000808888,11.910161,636.3529032,261.4866777,26.70911346,64.99918866,0.052863248,2.750778351,0.052305288,0.032740444,237.7263116,33.57460747,33.40161935,5.167239463,75.20431737,3.65584266,4.861213807,1.511396804,-35.67195778,-160.9666928,-13.38309067,27.70457036,0.020035832,-0.449317226,4.847200077,18,3,1,0,52982.3744,1500.002903,1264.502386,0.842999959,0.187999892,6.62,0.5,0: Broadleaf,1592660600,636.3529032,650.0614839,35.79130968,34.93079355,600.0098387,102.0428387,0.100466258,32.31620645,33.40161935,999.9,9993.023548,521.9767097,297.0442258,1500.002903,0.900001355,0.099998645,31,30473.84194,1592660633,8:43:53,10,-1.903,0.479,650,35,0.19,0.1,-13.05501,0.049797263,0.051427317,1,0.8794459,-0.033987786,0.018104655,1,2,2,100,100,-1.903,0.479,3,599.244,351.81,32.9986,32.8195,30.0004,32.7095,32.7669,28.615,23.9973,100,33,650,34.8833,97.8929,105.751,1n,6/21/2020,6800.1,1n,n,NA,NA,Y
06-21-2020 6800.1 WetFert ACi_updated_area_Cleaned_6800.csv,1592660711,1009.7,20200620 08:45:10,8:45:10,1592660703,0.001075014,15.82353024,781.6279355,406.4477779,41.51616745,79.83853775,0.071066926,2.749875961,0.070062144,0.043877932,237.7257522,33.42821299,33.27809355,5.131587653,75.0163067,3.631548985,4.841012768,1.500038667,-47.40813227,-153.5304942,-12.75666751,24.03045817,0.020026146,-0.449100007,4.845284192,18,3,1,0,52970.61499,1499.999677,1264.499703,0.842999983,0.187999848,6.62,0.5,0: Broadleaf,1592660703,781.6279355,800.0136452,35.55325806,34.40932903,600.0002258,102.0439355,0.099979955,32.24248387,33.27809355,999.9,9988.085161,521.5299677,157.4318387,1499.999677,0.900002065,0.099997987,31,30473.79677,1592660736,8:45:35,11,-2.523,0.453,800,34,0.1,0.08,-17.783838,0.057438767,0.076083735,1,1.171988,-0.018954888,0.00331721,1,2,2,100,100,-2.523,0.453,3,599.716,350.922,32.9991,32.8862,30.0002,32.7692,32.8246,33.9163,24.2769,100,33,800,34.4396,97.8898,105.736,1n,6/21/2020,6800.1,1n,n,NA,NA,Y
